vars,sitename,X,Y
TEMP,DWER_CANEST_6161837_Profile_878,115.901182,-32.027504
TEMP,DWER_CANEST_6161838_Profile_918,115.872233,-32.030813
TEMP,DWER_CANEST_6161892_Profile_947,115.927744,-32.019964
TEMP,DWER_CANEST_6162994_Profile_982,115.921002,-32.021468
TEMP,DWER_CANEST_6162995_Fixed_1024,115.915643,-32.022513
TEMP,DWER_CANEST_6162995_Floating_1025,115.915643,-32.022513
TEMP,DWER_CANEST_6162995_Profile_1026,115.915643,-32.022513
TEMP,DWER_CANEST_6163105_Profile_1069,115.926700,-32.022600
TEMP,DWER_CANEST_6163119_Profile_1109,115.949901,-32.033900
TEMP,DWER_CANEST_6163124_Profile_1138,115.933131,-32.022888
TEMP,DWER_CANEST_6163126_Profile_1160,115.944245,-32.029756
TEMP,DWER_CANEST_6163132_Profile_1185,115.937828,-32.026049
TEMP,DWER_CANEST_6163179_Profile_1213,115.853516,-32.016780
TEMP,DWER_CANEST_6163346_Profile_1239,115.915559,-32.022423
TEMP,DWER_CANEST_6164609_Profile_1252,115.913222,-32.027517
TEMP,DWER_CANEST_6165318_Profile_1268,115.853225,-32.017219
TEMP,DWER_CANEST_6167188_Floating_1292,115.901366,-32.022782
TEMP,DWER_CANEST_6167188_Profile_1293,115.901366,-32.022782
TEMP,DWER_CSMOORING_6147030_Profile_1313,115.702729,-32.156600
TEMP,DWER_CSMOORING_6147031_Profile_1328,115.728321,-32.250800
TEMP,DWER_CSMOORING_6147032_Floating_1346,115.745250,-32.192282
TEMP,DWER_CSMOORING_6147033_Floating_1375,115.702680,-32.272865
TEMP,DWER_CSMOORING_6147034_Profile_1391,115.714178,-32.262402
TEMP,DWER_CSMOORING_6147035_Profile_1406,115.740654,-32.200120
TEMP,DWER_CSMOORING_6147036_Floating_1424,115.679304,-32.157431
TEMP,DWER_CSMOORING_6147037_Floating_1442,115.759848,-32.186698
TEMP,DWER_CSMWQ_6141432_Fixed_1466,115.702500,-32.274500
TEMP,DWER_CSMWQ_6141432_Floating_1467,115.702500,-32.274500
TEMP,DWER_CSMWQ_6141432_Profile_1468,115.702500,-32.274500
TEMP,DWER_CSMWQ_6142828_Profile_1491,115.763847,-32.151321
TEMP,DWER_CSMWQ_6142829_Profile_1509,115.761111,-32.144304
TEMP,DWER_CSMWQ_6142830_Fixed_1542,115.762558,-32.140024
TEMP,DWER_CSMWQ_6142830_Floating_1543,115.762558,-32.140024
TEMP,DWER_CSMWQ_6142830_Integrated_1544,115.762558,-32.140024
TEMP,DWER_CSMWQ_6142830_Profile_1545,115.762558,-32.140024
TEMP,DWER_CSMWQ_6142831_Profile_1568,115.755587,-32.145133
TEMP,DWER_CSMWQ_6142832_Profile_1586,115.750286,-32.145072
TEMP,DWER_CSMWQ_6142833_Profile_1604,115.739685,-32.144985
TEMP,DWER_CSMWQ_6142834_Profile_1620,115.758037,-32.150507
TEMP,DWER_CSMWQ_6142835_Profile_1635,115.763951,-32.155463
TEMP,DWER_CSMWQ_6142836_Profile_1650,115.763103,-32.159352
TEMP,DWER_CSMWQ_6142837_Profile_1665,115.762013,-32.163896
TEMP,DWER_CSMWQ_6142842_Profile_1684,115.755220,-32.153402
TEMP,DWER_CSMWQ_6142843_Profile_1698,115.752674,-32.155803
TEMP,DWER_CSMWQ_6142970_Fixed_1723,115.693841,-32.154551
TEMP,DWER_CSMWQ_6142970_Floating_1724,115.693841,-32.154551
TEMP,DWER_CSMWQ_6142970_Integrated_1725,115.693841,-32.154551
TEMP,DWER_CSMWQ_6142970_Profile_1726,115.693841,-32.154551
TEMP,DWER_CSMWQ_6142971_Fixed_1759,115.720158,-32.152366
TEMP,DWER_CSMWQ_6142971_Floating_1760,115.720158,-32.152366
TEMP,DWER_CSMWQ_6142971_Integrated_1761,115.720158,-32.152366
TEMP,DWER_CSMWQ_6142971_Profile_1762,115.720158,-32.152366
TEMP,DWER_CSMWQ_6142972_Fixed_1799,115.756724,-32.146480
TEMP,DWER_CSMWQ_6142972_Floating_1800,115.756724,-32.146480
TEMP,DWER_CSMWQ_6142972_Integrated_1801,115.756724,-32.146480
TEMP,DWER_CSMWQ_6142972_Profile_1802,115.756724,-32.146480
TEMP,DWER_CSMWQ_6142973_Fixed_1837,115.762483,-32.170703
TEMP,DWER_CSMWQ_6142973_Floating_1838,115.762483,-32.170703
TEMP,DWER_CSMWQ_6142973_Integrated_1839,115.762483,-32.170703
TEMP,DWER_CSMWQ_6142973_Profile_1840,115.762483,-32.170703
TEMP,DWER_CSMWQ_6142974_Fixed_1880,115.719833,-32.197565
TEMP,DWER_CSMWQ_6142974_Floating_1881,115.719833,-32.197565
TEMP,DWER_CSMWQ_6142974_Integrated_1882,115.719833,-32.197565
TEMP,DWER_CSMWQ_6142974_Profile_1883,115.719833,-32.197565
TEMP,DWER_CSMWQ_6142975_Fixed_1916,115.759566,-32.209851
TEMP,DWER_CSMWQ_6142975_Floating_1917,115.759566,-32.209851
TEMP,DWER_CSMWQ_6142975_Integrated_1918,115.759566,-32.209851
TEMP,DWER_CSMWQ_6142975_Profile_1919,115.759566,-32.209851
TEMP,DWER_CSMWQ_6142976_Fixed_1953,115.751412,-32.238934
TEMP,DWER_CSMWQ_6142976_Floating_1954,115.751412,-32.238934
TEMP,DWER_CSMWQ_6142976_Integrated_1955,115.751412,-32.238934
TEMP,DWER_CSMWQ_6142976_Profile_1956,115.751412,-32.238934
TEMP,DWER_CSMWQ_6142977_Fixed_1988,115.740864,-32.256500
TEMP,DWER_CSMWQ_6142977_Floating_1989,115.740864,-32.256500
TEMP,DWER_CSMWQ_6142977_Integrated_1990,115.740864,-32.256500
TEMP,DWER_CSMWQ_6142977_Profile_1991,115.740864,-32.256500
TEMP,DWER_CSMWQ_6142978_Fixed_2024,115.714178,-32.262401
TEMP,DWER_CSMWQ_6142978_Floating_2025,115.714178,-32.262401
TEMP,DWER_CSMWQ_6142978_Integrated_2026,115.714178,-32.262401
TEMP,DWER_CSMWQ_6142978_Profile_2027,115.714178,-32.262401
TEMP,DWER_CSMWQ_6142979_Fixed_2054,115.684285,-32.254165
TEMP,DWER_CSMWQ_6142979_Floating_2055,115.684285,-32.254165
TEMP,DWER_CSMWQ_6142979_Integrated_2056,115.684285,-32.254165
TEMP,DWER_CSMWQ_6142979_Profile_2057,115.684285,-32.254165
TEMP,DWER_CSMWQ_6142980_Fixed_2089,115.697969,-32.229518
TEMP,DWER_CSMWQ_6142980_Floating_2090,115.697969,-32.229518
TEMP,DWER_CSMWQ_6142980_Integrated_2091,115.697969,-32.229518
TEMP,DWER_CSMWQ_6142980_Profile_2092,115.697969,-32.229518
TEMP,DWER_CSMWQ_6142981_Integrated_2111,115.684831,-32.198595
TEMP,DWER_CSMWQ_6142982_Integrated_2122,115.682120,-32.157758
TEMP,DWER_CSMWQ_6142983_Fixed_2148,115.712531,-32.248232
TEMP,DWER_CSMWQ_6142983_Floating_2149,115.712531,-32.248232
TEMP,DWER_CSMWQ_6142983_Integrated_2150,115.712531,-32.248232
TEMP,DWER_CSMWQ_6142983_Profile_2151,115.712531,-32.248232
TEMP,DWER_CSMWQ_6142984_Fixed_2182,115.739090,-32.182803
TEMP,DWER_CSMWQ_6142984_Floating_2183,115.739090,-32.182803
TEMP,DWER_CSMWQ_6142984_Integrated_2184,115.739090,-32.182803
TEMP,DWER_CSMWQ_6142984_Profile_2185,115.739090,-32.182803
TEMP,DWER_CSMWQ_6142985_Fixed_2217,115.708785,-32.308838
TEMP,DWER_CSMWQ_6142985_Floating_2218,115.708785,-32.308838
TEMP,DWER_CSMWQ_6142985_Integrated_2219,115.708785,-32.308838
TEMP,DWER_CSMWQ_6142985_Profile_2220,115.708785,-32.308838
TEMP,DWER_CSMWQ_6142986_Fixed_2266,115.722167,-32.336946
TEMP,DWER_CSMWQ_6142986_Floating_2267,115.722167,-32.336946
TEMP,DWER_CSMWQ_6142986_Integrated_2268,115.722167,-32.336946
TEMP,DWER_CSMWQ_6142986_Profile_2269,115.722167,-32.336946
TEMP,DWER_CSMWQ_6142987_Fixed_2306,115.740167,-32.254698
TEMP,DWER_CSMWQ_6142987_Floating_2307,115.740167,-32.254698
TEMP,DWER_CSMWQ_6142987_Integrated_2308,115.740167,-32.254698
TEMP,DWER_CSMWQ_6142987_Profile_2309,115.740167,-32.254698
TEMP,DWER_CSMWQ_6142988_Fixed_2344,115.696612,-32.215297
TEMP,DWER_CSMWQ_6142988_Floating_2345,115.696612,-32.215297
TEMP,DWER_CSMWQ_6142988_Integrated_2346,115.696612,-32.215297
TEMP,DWER_CSMWQ_6142988_Profile_2347,115.696612,-32.215297
TEMP,DWER_CSMWQ_6142989_Fixed_2385,115.684831,-32.198595
TEMP,DWER_CSMWQ_6142989_Floating_2386,115.684831,-32.198595
TEMP,DWER_CSMWQ_6142989_Integrated_2387,115.684831,-32.198595
TEMP,DWER_CSMWQ_6142989_Profile_2388,115.684831,-32.198595
TEMP,DWER_CSMWQ_6142990_Fixed_2416,115.652974,-32.139401
TEMP,DWER_CSMWQ_6142990_Floating_2417,115.652974,-32.139401
TEMP,DWER_CSMWQ_6142990_Integrated_2418,115.652974,-32.139401
TEMP,DWER_CSMWQ_6142990_Profile_2419,115.652974,-32.139401
TEMP,DWER_CSMWQ_6144401_Fixed_2444,115.728321,-32.250809
TEMP,DWER_CSMWQ_6144401_Floating_2445,115.728321,-32.250809
TEMP,DWER_CSMWQ_6144466_Fixed_2476,115.765882,-32.197784
TEMP,DWER_CSMWQ_6144466_Floating_2477,115.765882,-32.197784
TEMP,DWER_CSMWQ_6144466_Profile_2478,115.765882,-32.197784
TEMP,DWER_CSMWQ_6147030_Profile_2499,115.702740,-32.156587
TEMP,DWER_CSMWQ_6147031_Profile_2519,115.728332,-32.250787
TEMP,DWER_CSMWQ_6147034_Profile_2537,115.714189,-32.262388
TEMP,DWER_CSMWQ_6147035_Profile_2553,115.740665,-32.200106
TEMP,DWER_PHESTREACH_6131321_Profile_2587,115.677035,-32.683243
TEMP,DWER_PHESTREACH_6131322_Profile_2604,115.694901,-32.730063
TEMP,DWER_PHESTREACH_6131323_Profile_2621,115.660907,-32.633273
TEMP,DWER_PHESTREACH_6140029_Profile_2638,115.671387,-32.603628
TEMP,DWER_PHESTREACH_6140030_Profile_2655,115.754871,-32.575745
TEMP,DWER_PHESTREACH_6140031_Profile_2672,115.713254,-32.591805
TEMP,DWER_PHESTREACH_6140953_Profile_2682,115.821421,-32.592114
TEMP,DWER_PHESTREACH_6141384_Profile_2690,115.916416,-32.592726
TEMP,DWER_PHESTREACH_6141499_Profile_2695,115.837734,-32.341158
TEMP,DWER_PHESTREACH_6142623_Integrated_2712,115.882040,-32.585137
TEMP,DWER_PHESTREACH_6142623_Profile_2713,115.882040,-32.585137
TEMP,DWER_PHESTREACH_6142624_Profile_2732,115.787282,-32.581407
TEMP,DWER_PHESTREACH_6142625_Profile_2750,115.827008,-32.585905
TEMP,DWER_PHESTREACH_6142627_Profile_2767,115.767970,-32.543329
TEMP,DWER_PHESTREACH_6142628_Profile_2784,115.786308,-32.510069
TEMP,DWER_PHESTREACH_6142629_Integrated_2805,115.808025,-32.471222
TEMP,DWER_PHESTREACH_6142629_Profile_2806,115.808025,-32.471222
TEMP,DWER_PHESTREACH_6142855_Profile_2825,115.834139,-32.585856
TEMP,DWER_PHESTREACH_6143035_Profile_2840,115.831000,-32.399000
TEMP,DWER_PHESTREACH_6143036_Profile_2856,115.831000,-32.399500
TEMP,DWER_PHESTREACH_6144122_Integrated_2876,115.830969,-32.401996
TEMP,DWER_PHESTREACH_6144122_Profile_2877,115.830969,-32.401996
TEMP,DWER_SWANCATCH_6162925_Profile_2927,116.017298,-31.876150
TEMP,DWER_SWANCATCH_6164314_Profile_2943,116.003947,-31.789477
TEMP,DWER_SWANCATCH_6164462_Profile_2959,115.919732,-31.949031
TEMP,DWER_SWANEST_6160118_Profile_2982,115.992278,-31.878075
TEMP,DWER_SWANEST_6160119_Profile_3008,115.998983,-31.868417
TEMP,DWER_SWANEST_6160121_Profile_3020,115.975159,-31.891316
TEMP,DWER_SWANEST_6160258_Profile_3041,115.784129,-32.017126
TEMP,DWER_SWANEST_6160259_Profile_3070,115.808950,-32.007069
TEMP,DWER_SWANEST_6160262_Profile_3099,115.848780,-31.963657
TEMP,DWER_SWANEST_6160263_Profile_3129,115.885341,-31.954845
TEMP,DWER_SWANEST_6160764_Profile_3160,115.908173,-31.939807
TEMP,DWER_SWANEST_6160930_Profile_3184,115.979641,-31.887654
TEMP,DWER_SWANEST_6161086_Profile_3224,116.009083,-31.864404
TEMP,DWER_SWANEST_6161821_Profile_3272,115.961026,-31.912582
TEMP,DWER_SWANEST_6161854_Profile_3320,115.989546,-31.887859
TEMP,DWER_SWANEST_6161869_Profile_3350,115.835349,-31.994892
TEMP,DWER_SWANEST_6161870_Profile_3376,115.913400,-31.951372
TEMP,DWER_SWANEST_6161878_Profile_3407,115.940132,-31.921404
TEMP,DWER_SWANEST_6161879_Profile_3448,115.959250,-31.898440
TEMP,DWER_SWANEST_6162045_Profile_3481,115.963213,-31.904373
TEMP,DWER_SWANEST_6162300_Profile_3504,115.961691,-31.900481
TEMP,DWER_SWANEST_6163485_Profile_3519,115.950949,-31.922684
TEMP,DWER_SWANEST_6163500_Profile_3538,115.995600,-31.856300
TEMP,DWER_SWANEST_6163833_Profile_3549,116.002700,-31.861400
TEMP,DWER_SWANEST_6163857_Integrated_3557,115.991249,-31.883876
TEMP,DWER_SWANEST_6163857_Profile_3558,115.991249,-31.883876
TEMP,DWER_SWANEST_6163932_Profile_3566,115.991300,-31.881100
TEMP,DWER_SWANEST_6164323_Profile_3574,115.941618,-31.920072
TEMP,DWER_SWANEST_6167114_Profile_3591,115.971332,-31.894387
TEMP,DWER_SWANEST_6167160_Profile_3614,115.844250,-31.998889
WQ_DIAG_PHY_TCHLA,DWER_CANEST_6161836_Floating_810,115.942100,-32.029700
WQ_DIAG_PHY_TCHLA,DWER_CANEST_6161836_Integrated_811,115.942100,-32.029700
