field_1,field_2,field_3
"9429","0","0"
"9430","12","12"
"9431","139","140"
"9432","0","0"
"9433","0","0"
"9434","0","0"
"9435","4","5"
"9436","1","4"
"9437","0","0"
"9438","14","15"
"9439","0","0"
"9440","0","0"
"9441","0","0"
"9442","4","4"
"9443","9","9"
"9444","0","1"
"9445","0","0"
"9446","14","15"
"9447","24","25"
"9448","27","26"
"9449","0","0"
"9450","2887","3179"
"9451","38607","43828"
"9453","0","0"
"9454","0","0"
"9455","38909","43083"
"9457","2","8"
"9458","0","0"
"9459","41580","45488"
"9461","0","4"
"9462","0","0"
"9463","31451","35199"
"9936","0","0"
"9937","0","0"
"9938","0","0"
"9939","0","0"
"9940","0","0"
"9941","0","0"
"9942","0","0"
"9943","0","0"
"9944","0","0"
"9945","0","0"
"9946","0","0"
"9947","0","0"
"9948","0","0"
"9949","0","0"
"9950","0","0"
"9951","0","0"
"9952","0","0"
"9953","542","542"
"9954","0","0"
"9955","0","0"
"9956","0","0"
"9957","253","254"
"9958","137","138"
"9959","0","0"
"9960","0","0"
"9961","0","0"
"9962","661","663"
"9963","220","222"
"9964","0","0"
"9965","0","0"
"9966","32","35"
"9967","400","402"
"9968","0","0"
"9969","0","0"
"9970","0","0"
"9971","0","0"
"9972","0","0"
"9973","0","0"
"9974","0","0"
"9975","0","0"
"9976","76","77"
"9977","0","0"
"9978","256","257"
"9979","622","623"
"9980","0","0"
"9981","245","247"
"9982","0","0"
"9983","0","0"
"9984","0","0"
"9985","0","0"
"9986","0","0"
"9987","18","19"
"9988","0","0"
"9989","0","0"
"9990","0","0"
"9991","0","0"
"9992","0","0"
"9993","11","11"
"9994","0","0"
"9995","0","0"
"9996","0","0"
"9997","0","0"
"9998","27","27"
"9999","77","78"
"10000","0","0"
"10001","347","347"
"10002","0","0"
"10003","1660","1660"
"10004","0","0"
"10005","0","0"
"10006","0","0"
"10007","0","0"
"10008","0","0"
"10009","0","0"
"10010","0","0"
"10011","74","74"
"10012","0","0"
"10013","56","56"
"10014","2","3"
"10015","0","0"
"10016","0","0"
"10017","0","0"
"10018","186","187"
"10019","0","0"
"10020","0","0"
"10021","37","38"
"10022","628","630"
"10023","0","0"
"10024","58","59"
"10025","263","264"
"10026","0","0"
"10027","0","0"
"10028","244","245"
"10029","567","568"
"10030","0","0"
"10031","0","0"
"10032","0","0"
"10033","0","0"
"10034","0","0"
"10035","0","0"
"10036","0","0"
"10037","5","5"
"10038","0","0"
"10039","0","0"
"10040","0","0"
"10041","0","0"
"10042","0","0"
"10043","0","0"
"10044","975","990"
"10045","512","546"
"10046","55","51"
"10047","0","0"
"10048","19","42"
"10049","0","0"
"10050","51363","55444"
"10052","0","0"
"10053","0","0"
"10054","52757","57243"
"10056","0","0"
"10057","0","0"
"10058","71563","76907"
"10060","0","0"
"10061","0","0"
"10062","81472","87696"
"10521","0","0"
"10522","0","0"
"10523","0","0"
"10524","415","418"
"10525","0","0"
"10526","0","0"
"10527","0","0"
"10528","0","0"
"10529","0","0"
"10530","0","0"
"10531","0","0"
"10532","0","0"
"10533","0","0"
"10534","0","0"
"10535","0","0"
"10536","0","0"
"10537","11","20"
"10538","11","19"
"10539","0","0"
"10540","0","0"
"10541","130","134"
"10542","133","136"
"10543","0","0"
"10544","0","0"
"10545","0","0"
"10546","0","0"
"10547","0","0"
"10548","0","0"
"10549","0","0"
"10550","0","0"
"10551","0","4"
"10552","0","0"
"10553","0","0"
"10554","0","0"
"10555","0","0"
"10556","0","0"
"10557","0","0"
"10558","108","109"
"10559","0","1"
"10560","103","104"
"10561","214","216"
"10562","21","23"
"10563","0","0"
"10564","0","0"
"10565","50","53"
"10566","0","0"
"10567","0","0"
"10568","0","0"
"10569","110","111"
"10570","110","110"
"10571","244","244"
"10572","344","345"
"10573","0","0"
"10574","0","0"
"10575","0","0"
"10576","0","0"
"10577","0","0"
"10578","0","0"
"10579","77","78"
"10580","0","0"
"10581","0","0"
"10582","0","0"
"10583","0","0"
"10584","113","116"
"10585","130","131"
"10586","320","322"
"10587","0","0"
"10588","605","612"
"10589","251","252"
"10590","0","0"
"10591","0","0"
"10592","509","517"
"10593","535","536"
"10594","0","0"
